Ontology ID	parent	label	EquivalentTo	SubClassOf	definition	definition source	taxa	see also	curation status	comment	image	created	term contributor
FOODON:00005454	whale food product|fat or oil	beluga oil			Oil that is derived from beluga whale.								
FOODON:00005461	fat or oil|cocoa food product	cocoa butter oil			Oil that is derived from the fat extracted from cocoa beans.								https://orcid.org/0000-0001-5275-8866
FOODON:00005462	tangerine juice	tangerine juice (unpasteurized)			Juice extracted from tangerines that has not undergone pasteurization.								https://orcid.org/0000-0001-5275-8866
FOODON:00005463	apple juice	apple juice (unpasteurized)			Apple juice that has not undergone pasteurization.								https://orcid.org/0000-0001-5275-8866
FOODON:00005464	lemon juice	lemon juice (unpasteurized)			Lemon juice that has not undergone pasteurization.								https://orcid.org/0000-0001-5275-8866
FOODON:00005465	lime juice	lime juice (unpasteurized)			Lime juice that has not undergone pasteurization.								https://orcid.org/0000-0001-5275-8866
FOODON:00001277	orange juice (liquid)	orange juice (unpasteurized)			Orange juice that has not undergone pasteurization.								https://orcid.org/0000-0001-5275-8866
FOODON:00005439	acerola juice	acerola juice (unpasteurized)			Acerola juice that has not undergone pasteurization.								
FOODON:00005455	tropical fruit food product	passion fruit food product			A food product which derives from passion fruit								
FOODON:00005467	fruit juice (liquid)|passion fruit food product	purple passion fruit juice			Fruit juice which derives from purple passion fruit.								
FOODON:00005440	purple passion fruit juice	purple passion fruit juice (unpasteurized)			Purple passion fruit juice that is raw.								https://orcid.org/0000-0001-5275-8866
FOODON:00005468	pink grapefruit juice	pink grapefruit juice (unpasteurized)			Pink grapefruit juice that is raw.								https://orcid.org/0000-0001-5275-8866
FOODON:00005596	fruit juice (liquid)|passion fruit food product	yellow passion fruit juice											
FOODON:00005469	yellow passion fruit juice	yellow passion fruit juice (unpasterized)											
FOODON:00005441	fruit juice (liquid)|pomegranate food product	pomegranate juice			 A fruit juice made from pomegranate.								
FOODON:03301127	fruit juice (liquid)|grape berry food product	grape juice			 A fruit juice made from grapes.								
FOODON:00005470	coconut milk	coconut milk (unpasteurized)			Coconut milk that has not undergone pasteurization.								
FOODON:00005471	coconut cream	coconut cream (unpasteurized)			Coconut cream that has not undergone pasteurization.								
FOODON:00005472	soursop food product	guanabana nectar			Nectar derived from the pulp of the guanabana fruit.								https://orcid.org/0000-0001-5275-8866
FOODON:00005473	tamarind food product	tamarind nectar			Nectar derived from the pulp of the tamarind fruit.								https://orcid.org/0000-0001-5275-8866
FOODON:00005474	skim milk (liquid)	skim milk (without added vitamin a and d)			Skim milk without the addition of vitamins A and D.								https://orcid.org/0000-0001-5275-8866
FOODON:00005475	nonfat dry milk	nonfat dry milk (instant, without added vitamin A and D)			Instant nonfat dry milk without the addition of vitamins A and D.								https://orcid.org/0000-0001-5275-8866
FOODON:00005476	cow milk (reduced fat)	cow milk (reduced fat, without added Vitamin A and Vitamin D)			Reduced-fat cow milk, which has not been fortified with vitamins A and D								https://orcid.org/0000-0001-5275-8866
FOODON:00005477	lowfat cow milk (1% fat)	lowfat cow milk (1% fat,  without added Vitamin A and Vitamin D)			Low-fat cow milk containing 1% fat, without the addition of vitamins A and D								https://orcid.org/0000-0001-5275-8866
FOODON:00005478	cow milk (liquid)	cow whole milk											
FOODON:00005479	cow whole milk	cow whole milk (without additives)			Cow whole milk without the addition of vitamins A and D.								
FOODON:00005480	cow whole milk	cow whole milk (without Vitamin D)			Cow whole milk without the addition of vitamins D.								
FOODON:00005481	cow whole milk 3.5% fat	cow whole milk 3.5% fat (without added Vitamin A and Vitamin D)			Whole cow milk with 3.5% fat content and without the addition of vitamins A and D.								https://orcid.org/0000-0001-5275-8866
FOODON:00005482	evaporated milk	evaporated milk (reduced fat, Vitamin A and Vitamin D fortified)			Evaporated milk with 2% fat content, fortified with vitamins A and D.								https://orcid.org/0000-0001-5275-8866
FOODON:00005483	cow milk (reduced fat)	cow milk (reduced fat, Without added Vitamin A, nonfat milk solids added)			Evaporated milk that is fortified with vitamins A.								
FOODON:00005484	skim milk (liquid)	skim milk (calcium-fortified)			Skim milk with added calcium.								https://orcid.org/0000-0001-5275-8866
FOODON:00005485	evaporated milk (canned, fortified)	evaporated milk (with added vitamin A)			Evaporated milk that is fortified with vitamin A.								
FOODON:00005486	tofu food product	tofu (fermented)			Tofu that has undergone a fermentation process.								https://orcid.org/0000-0001-5275-8866
FOODON:00005487	tallow (edible)	beef tallow			 A fat rendered from beef, typically from the fat surrounding organs and muscles.								https://orcid.org/0000-0001-5275-8866
FOODON:00005488	pea	pea (mashed)			Cooked green peas that are smashed to create a creamy texture.								https://orcid.org/0000-0001-5275-8866
FOODON:00005489	prune food product|fruit puree	prune puree			A semiliquid, smooth mixture made from cooked prunes (dried plums).								https://orcid.org/0000-0001-5275-8866
FOODON:00005490	carrot food product	carrot puree			A semiliquid, smooth mixture made from cooked carrots.								https://orcid.org/0000-0001-5275-8866
FOODON:00005491	fruit puree|banana food product	banana puree			A semiliquid, smooth mixture made from ripe bananas.								https://orcid.org/0000-0001-5275-8866
FOODON:00005492	squash food product	squash puree			Puree made from cooked squash, that is blended to a smooth consistency.								https://orcid.org/0000-0001-5275-8866
FOODON:00005493	sweet potato food product	sweet potato puree			Puree made from cooked sweet potato, that is blended to a smooth consistency.								https://orcid.org/0000-0001-5275-8866
FOODON:00005494	beet food product	beet puree			Puree made from cooked beet root, that is blended to a smooth consistency.								
FOODON:00005443	green bean food product	green bean puree			Puree made from cooked green beans, that is blended to a smooth consistency.								
FOODON:00005495	butter	clarified butter			Butter from which all milk solids have been removed.								https://orcid.org/0000-0001-5275-8866
FOODON:00005496	apple juice	apple juice (calcium-fortified)			Apple juice with added calcium.								https://orcid.org/0000-0001-5275-8866
FOODON:00005497	orange juice (liquid)	orange juice (without pulp)			Orange juice that has been strained to remove the pulp.								https://orcid.org/0000-0001-5275-8866
FOODON:00005498	pasta food product	corn pasta			Pasta that is made from corn flour.								https://orcid.org/0000-0001-5275-8866
FOODON:03310185	clarified butter	ghee			A type of clarified butter originating from the Indian subcontinent.								https://orcid.org/0000-0001-5275-8866
FOODON:00005500	flour | sesame food product	sesame flour			A flour that is made by grinding defatted sesame seeds.								https://orcid.org/0000-0001-5275-8866
FOODON:00005732	sunflower food product	sunflower seed butter			A seed butter that is made from ground sunflower seeds.								https://orcid.org/0000-0001-5275-8866
FOODON:00005503	vinegar food product	balsamic vinegar			A traditional Italian vinegar made wholly or partially from grape must, which is freshly crushed grape juice containing all the skins, seeds, and stems								https://orcid.org/0000-0001-5275-8866
FOODON:00005504	popcorn (popped)	popcorn (air-popped)			Popcorn that is popped using hot air.								https://orcid.org/0000-0001-5275-8866
FOODON:00005505	rice cereal	brown rice cereal			Cereal made from whole brown rice kernels, often processed for easier consumption.								https://orcid.org/0000-0001-5275-8866
FOODON:00005506	brown rice cereal	brown rice cereal (dry, instant)			Brown rice cereal that is dried and is meant to be prepared instantly.								https://orcid.org/0000-0001-5275-8866
FOODON:00005507	cow food product	corned beef			Beef that has been cured with salt and spices, typically from the brisket cut.								https://orcid.org/0000-0001-5275-8866
FOODON:00005508	bologna	beef bologna			Bologna that is made from beef.								https://orcid.org/0000-0001-5275-8866
FOODON:00005509	bologna	chicken bologna			Bologna that is made from chicken meat.								
FOODON:00005510	bologna	pork bologna			Bologna that is made from pork.								
FOODON:00005511	bologna	turkey bologna			Bologna that is made from turkey meat.								
FOODON:00005512	multi-component pasta product	beef macaroni dish			A macaroni dish that includes a beef-based sauce.				ready for release				https://orcid.org/0000-0001-5275-8866
FOODON:00005513	fruit sauce	guava sauce			A fruit sauce made from guava.								https://orcid.org/0000-0001-5275-8866
FOODON:00005514	sugar (refined)	sugar (powdered)											https://orcid.org/0000-0001-5275-8866
FOODON:00005515	tea (steeped)	green tea (steeped)			Steeped tea made from green tea leaves (Camellia sinensis).								https://orcid.org/0000-0001-5275-8866
FOODON:00005243	tea (steeped)	black tea (steeped)			Steeped tea made from fully oxidized black tea leaves (Camellia sinensis)								https://orcid.org/0000-0001-5275-8866
FOODON:00005516	tea (steeped)	hibiscus tea (steeped)			Steeped tea made from dried hibiscus flowers (Hibiscus sabdariffa).								https://orcid.org/0000-0001-5275-8866
FOODON:00005517	tea (steeped)	oolong tea (steeped)			Steeped tea made from partially oxidized tea leaves (Camellia sinensis).								https://orcid.org/0000-0001-5275-8866
FOODON:00005518	tea (decaffeinated)	black tea (decaffeinated)			Black tea that has most of its caffeine removed through a decaffeination process, while preserving its flavor, aroma, and other characteristic properties.								
FOODON:00005444	tea (decaffeinated)	green tea (decaffeinated)			Green tea that has most of its caffeine removed through a decaffeination process, while preserving its flavor, aroma, and other characteristic properties.								
FOODON:00005519	tea (dry, instant)	lemon tea (dry, instant)			A beverage mix that quickly dissolves in hot or cold water to create a lemon-flavoured tea.								
FOODON:00005520	soybean flour	soybean flour (full fat)			A soybean flour that is made from whole soybeans, retaining all of the natural oils, which gives it a higher fat content.								
FOODON:00005521	soybean flour	soybean flour (low fat)			A soybean flour made from whole soybeans that has been processed to reduce its natural oil content.								
	flour| sesame food product	sesame flour DUPLICATE			A flour that is made by grinding defatted sesame seeds after oil extraction.								
FOODON:00005523	flour	acorn flour			A flour that is made by grinding acorns, the nuts of oak trees, after they have been properly processed to remove tannin.								
FOODON:00005524	animal protein supplement	whey protein isolate			A refined form of whey protein, processed to remove most of the fat and lactose, resulting in a higher protein content.								
FOODON:00005525	bratwurst	chicken bratwurst			Bratwurst that is made from chicken meat.								
FOODON:00005526	bratwurst	pork bratwurst			Bratwurst that is made from pork.								
FOODON:00005527	bratwurst	veal bratwurst			Bratwurst that is made from veal.								
FOODON:00005528	wheat pasta	whole wheat pasta			Pasta made from whole wheat flour that retains the bran, germ, and endosperm of the wheat grain.								
FOODON:00005529	white corn flour	whole grain white corn flour			Flour made from the whole kernels of white corn (Zea mays), which includes the bran, germ, and endosperm.								
FOODON:00005530	white cornmeal	whole grain white cornmeal			Cornmeal made from whole white corn kernels (Zea mays), which includes the bran, germ, and endosperm								
FOODON:00005531	bacon (whole cut or pieces)|turkey meat food product	turkey bacon			A bacon made from turkey meat.								
FOODON:00005532	milled durum wheat	couscous			A dish made from durum wheat semolina, which is moistened and rolled into small granules, then steamed or boiled.								
FOODON:00005533	turkey sausage	turkey sausage (raw)			A turkey sausage that is raw.								
FOODON:00005534	salami	beef salami			Salami made from beef.								
FOODON:00005535	salami	turkey salami			Salami made from turkey meat.								
FOODON:00005536	salami	pork salami			Salami made from pork meat.								
FOODON:00005537	patty	chicken patty			A patty made from chicken meat.								
FOODON:00005538	salmon food product	salmon nugget			A nugget made from salmon meat that is often breaded or battered and typically fried or baked.								
FOODON:00005539	tofu	soft tofu			A tofu that has a smooth, delicate texture and high moisture content								
FOODON:00005540	tofu	firm tofu			A tofu that has a denser texture with lower moisture content, allowing it to hold its shape well during cooking.								
FOODON:00005541	tofu	silken tofu			A tofu that has a creamy, smooth texture and high moisture content.								
FOODON:00005542	silken tofu	silken soft tofu			A tofu that has an ultra-creamy texture and high moisture content.								
FOODON:00005543	silken tofu	silken firm tofu			A tofu that has a creamy texture while being slightly firmer, making it versatile for both savory and sweet dishes that require shape retention.								
FOODON:00005544	silken tofu	super firm tofu			 A tofu that has minimal moisture and an extremely dense texture, ideal for grilling, frying, or baking while maintaining its shape.								
FOODON:00005545	silken tofu	silken extra firm tofu			A tofu that has a denser texture while retaining some creaminess.								
FOODON:00005546	silken tofu	silken lite firm tofu			 A tofu that has a lighter texture with reduced fat content, providing a balance of creaminess and firmness								
FOODON:00005547	silken tofu	silken lite extra firm tofu			A tofu that has the densest texture with reduced fat.								
FOODON:00005548	carob food product	Carob flour			A flour made from ground carob pod, which is the dried fruit of the carob tree (Ceratonia siliqua).								
FOODON:00005549	fruit powder	baobab powder			A powder made from the dried fruit pulp of the baobab tree (Adansonia spp).								
FOODON:00005550	fruit juice (liquid)	tart cherry juice			A fruit juice made from tart cherry.								
FOODON:00005552	fruit puree	raspberry puree			A puree made from raspberry.								
FOODON:00005553	bran cereal	oat bran cereal			A cereal that is made from the outer layer of the oat grain (the bran), which is separated from the endosperm and germ.								
FOODON:00005554	pastrami	turkey pastrami			Pastrami that is made from turkey meat								
FOODON:00005555	noodle	rice noodle			Noodles that are made from rice.								
FOODON:00005556	cornmeal	whole grain cornmeal			Cornmeal that is made by grinding the whole corn kernel, including the bran, germ, and endosperm.								
FOODON:00005557	whole grain cornmeal|yellow cornmeal	whole grain yellow cornmeal			Cornmeal that is made by grinding the whole yellow corn kernel, including the bran, germ, and endosperm.								
FOODON:00005558	wheat cereal	wheat germ cereal			Wheat cereal made from the germ of the wheat kernel, which is the part of the grain that can sprout into a new wheat plant.								
FOODON:00005559	breakfast cereal (whole grain)|wheat cereal	whole wheat cereal			Breakfast cereal that is made from whole wheat grains that include all parts of the grain—the bran, germ, and endosperm.								
FOODON:00005560	pork sausage	pork sausage link			A pork sausage made from ground pork mixed with spices and seasonings, encased in a natural or synthetic casing to form individual cylindrical links.								
FOODON:00005561	pork sausage	pork sausage patty			A pork sausage made from ground pork mixed with spices and seasonings, formed into a flat, round disc shape without the use of a casing.								
FOODON:00005562	rice cereal food product	cream of rice			A finely ground rice cereal food product, that can be cooked with water or milk to form a smooth, creamy cereal.								
FOODON:00005563	wheat cereal food product	cream of wheat			A finely ground wheat cereal food product, specifically farina, that is cooked with water or milk to create a smooth and creamy porridge.								
FOODON:00005564	puffed rice cereal	puffed rice cereal (fortified)			Puffed rice cereal that has been fortified to enhance its nutritional value.								
FOODON:00005565	puffed wheat cereal	puffed wheat cereal (fortified)			Puffed wheat cereal that has been fortified to enhance its nutritional value.								
FOODON:00005567	noodle	cellophane noodle			Noodle that is made from starch, typically mung bean or sweet potato starch, that becomes soft and transparent when cooked.	https://en.wikipedia.org/wiki/Cellophane_noodles				They are called "cellophane noodles" or "glass noodles" due to their transparent, glass-like appearance.			
FOODON:00005568	common oat cereal food product	quick oats			Whole oat groats that are pre-cooked, dried, and then rolled into thinner flakes to reduce cooking time								
FOODON:00005569	quick oats	quick oats (with iron)			Quick oats that have been fortified with added iron.								
FOODON:00005570	beef sausage	lebanon bologna			A type of beef sausage that is cured, smoked, and fermented semi dry, originating from Lebanon County, Pennsylvania.	https://en.wikipedia.org/wiki/Lebanon_bologna							
FOODON:00005571	hominy grits	white hominy grits			Hominy grits made from white corn that has undergone nixtamalization, a process involving soaking and cooking the corn in an alkaline solution to remove the hull and soften the kernels.								
